A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,2013-01-03 11:00,2013,1,3,11,67,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 12:00,2013,1,3,12,64,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 13:00,2013,1,3,13,58,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 14:00,2013,1,3,14,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 15:00,2013,1,3,15,46,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 16:00,2013,1,3,16,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 17:00,2013,1,3,17,45,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 18:00,2013,1,3,18,46,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 19:00,2013,1,3,19,55,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 20:00,2013,1,3,20,49,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 21:00,2013,1,3,21,56,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 22:00,2013,1,3,22,48,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-03 23:00,2013,1,3,23,43,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 00:00,2013,1,4,0,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 01:00,2013,1,4,1,36,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 02:00,2013,1,4,2,39,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 03:00,2013,1,4,3,29,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 04:00,2013,1,4,4,30,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 05:00,2013,1,4,5,31,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 06:00,2013,1,4,6,33,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 07:00,2013,1,4,7,33,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 08:00,2013,1,4,8,30,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 09:00,2013,1,4,9,26,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 10:00,2013,1,4,10,26,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 11:00,2013,1,4,11,33,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 12:00,2013,1,4,12,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 13:00,2013,1,4,13,39,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 14:00,2013,1,4,14,32,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 15:00,2013,1,4,15,36,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 16:00,2013,1,4,16,47,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 17:00,2013,1,4,17,38,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 18:00,2013,1,4,18,34,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 19:00,2013,1,4,19,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 20:00,2013,1,4,20,42,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 21:00,2013,1,4,21,37,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 22:00,2013,1,4,22,30,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-04 23:00,2013,1,4,23,29,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 00:00,2013,1,5,0,24,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 01:00,2013,1,5,1,27,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 02:00,2013,1,5,2,23,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 03:00,2013,1,5,3,19,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 04:00,2013,1,5,4,19,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 05:00,2013,1,5,5,17,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 06:00,2013,1,5,6,19,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 07:00,2013,1,5,7,19,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 08:00,2013,1,5,8,20,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 09:00,2013,1,5,9,18,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 10:00,2013,1,5,10,29,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2013-01-05 11:00,2013,1,5,11,33,µg/m³,1 Hr,Valid
