A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/3.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/3.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Guangzhou,PM2.5,2012-01-01 00:00,2012,1,1,0,84,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 01:00,2012,1,1,1,81,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 02:00,2012,1,1,2,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 03:00,2012,1,1,3,80,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 04:00,2012,1,1,4,69,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 05:00,2012,1,1,5,92,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 06:00,2012,1,1,6,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 07:00,2012,1,1,7,68,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 08:00,2012,1,1,8,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 09:00,2012,1,1,9,72,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 10:00,2012,1,1,10,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 11:00,2012,1,1,11,75,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 12:00,2012,1,1,12,68,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 13:00,2012,1,1,13,63,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 14:00,2012,1,1,14,68,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 15:00,2012,1,1,15,78,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 16:00,2012,1,1,16,68,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 17:00,2012,1,1,17,82,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 18:00,2012,1,1,18,84,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 19:00,2012,1,1,19,83,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 20:00,2012,1,1,20,89,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 21:00,2012,1,1,21,85,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 22:00,2012,1,1,22,85,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-01 23:00,2012,1,1,23,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-02 00:00,2012,1,2,0,87,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-02 01:00,2012,1,2,1,90,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-02 02:00,2012,1,2,2,83,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-02 03:00,2012,1,2,3,86,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-02 04:00,2012,1,2,4,88,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-02 05:00,2012,1,2,5,82,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-02 06:00,2012,1,2,6,79,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-02 07:00,2012,1,2,7,76,µg/m³,1 Hr,Valid
Guangzhou,PM2.5,2012-01-02 08:00,2012,1,2,8,75,µg/m³,1 Hr,Valid
