A fact sheet with definitions and metadata for this dataset can be found at http://www.stateair.net/web/historical/1/4.html.
The U.S. Department of State Data Use Statement at http://www.stateair.net/web/historical/1/4.html applies to these and all data available from the Mission China air quality monitoring program.

Site,Parameter,Date (LST),Year,Month,Day,Hour,Value,Unit,Duration,QC Name
Shanghai,PM2.5,2013-01-03 13:00,2013,1,3,13,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 14:00,2013,1,3,14,50,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 15:00,2013,1,3,15,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 16:00,2013,1,3,16,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 17:00,2013,1,3,17,48,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 18:00,2013,1,3,18,53,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 19:00,2013,1,3,19,58,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 20:00,2013,1,3,20,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 21:00,2013,1,3,21,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 22:00,2013,1,3,22,49,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-03 23:00,2013,1,3,23,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 00:00,2013,1,4,0,45,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 01:00,2013,1,4,1,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 02:00,2013,1,4,2,38,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 03:00,2013,1,4,3,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 04:00,2013,1,4,4,37,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 05:00,2013,1,4,5,44,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 06:00,2013,1,4,6,47,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 07:00,2013,1,4,7,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 08:00,2013,1,4,8,66,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 09:00,2013,1,4,9,68,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 10:00,2013,1,4,10,63,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 11:00,2013,1,4,11,51,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 12:00,2013,1,4,12,52,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 13:00,2013,1,4,13,55,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 14:00,2013,1,4,14,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 15:00,2013,1,4,15,57,µg/m³,1 Hr,Valid
Shanghai,PM2.5,2013-01-04 16:00,2013,1,4,16,54,µg/m³,1 Hr,Valid
